brcSlug,brcName,supplierPanelBrand,supplierColorName,supplierSeries,finishType,verified,imagePath
snowcap,Snowcap,Tafisa,Vanilla Orchid,Lummia Perfect Matt,matte,true,/images/catalog/finishes/snowcap.webp
glacier,Glacier,Tafisa,Carte Blanche,Lummia Perfect Matt,matte,true,/images/catalog/finishes/glacier.webp
dune,Dune,,,,matte,false,/images/catalog/finishes/dune.webp
sagebrush,Sagebrush,Tafisa,Eucalyptus,Lummia Perfect Matt,matte,true,/images/catalog/finishes/sagebrush.webp
slate,Slate,,,,matte,false,/images/catalog/finishes/slate.webp
midnight,Midnight,,,,matte,false,/images/catalog/finishes/midnight.webp
clay,Clay,,,,matte,false,/images/catalog/finishes/clay.webp
fog,Fog,,,,matte,false,/images/catalog/finishes/fog.webp
linen,Linen,,,,matte,false,/images/catalog/finishes/linen.webp
riverstone,Riverstone,,,,matte,false,/images/catalog/finishes/riverstone.webp
basalt,Basalt,,,,matte,false,/images/catalog/finishes/basalt.webp
mist,Mist,,,,matte,false,/images/catalog/finishes/mist.webp
terracotta,Terracotta,,,,matte,false,/images/catalog/finishes/terracotta.webp
fern,Fern,,,,matte,false,/images/catalog/finishes/fern.webp
pebble,Pebble,,,,matte,false,/images/catalog/finishes/pebble.webp
porcelain,Porcelain,,Gloss White,One Source Gloss,gloss,true,/images/catalog/finishes/porcelain.webp
ivory,Ivory,,,,gloss,false,/images/catalog/finishes/ivory.webp
pearl,Pearl,,Gloss Light Grey,One Source Gloss,gloss,true,/images/catalog/finishes/pearl.webp
graphite,Graphite,,Gloss Graphite,One Source Gloss,gloss,true,/images/catalog/finishes/graphite.webp
obsidian,Obsidian,,Gloss Black,One Source Gloss,gloss,true,/images/catalog/finishes/obsidian.webp
seafoam,Seafoam,,,,gloss,false,/images/catalog/finishes/seafoam.webp
blush,Blush,,,,gloss,false,/images/catalog/finishes/blush.webp
cobalt,Cobalt,,Gloss Deep Blue,One Source Gloss,gloss,true,/images/catalog/finishes/cobalt.webp
champagne,Champagne,,,,gloss,false,/images/catalog/finishes/champagne.webp
storm,Storm,,Gloss Dark Grey,One Source Gloss,gloss,true,/images/catalog/finishes/storm.webp
alabaster,Alabaster,,,,gloss,false,/images/catalog/finishes/alabaster.webp
crimson,Crimson,,,,gloss,false,/images/catalog/finishes/crimson.webp
white-oak,White Oak,Salt International,Canyon Oak,Salt TSV,eir-woodgrain,true,/images/catalog/finishes/white-oak.webp
natural-walnut,Natural Walnut,Salt International,Canyon Walnut,Salt TSV,eir-woodgrain,true,/images/catalog/finishes/natural-walnut.webp
espresso-walnut,Espresso Walnut,Salt International,Pecan Scuro,Salt TSV,eir-woodgrain,true,/images/catalog/finishes/espresso-walnut.webp
honey-maple,Honey Maple,Salt International,Olmo Miele,Salt TSV,eir-woodgrain,true,/images/catalog/finishes/honey-maple.webp
driftwood,Driftwood,Tafisa,Chameleon,Karisma,eir-woodgrain,true,/images/catalog/finishes/driftwood.webp
charcoal-oak,Charcoal Oak,Salt International,Canyon Charcoal,Salt TSV,eir-woodgrain,true,/images/catalog/finishes/charcoal-oak.webp
hickory,Hickory,,,,eir-woodgrain,false,/images/catalog/finishes/hickory.webp
cherry,Cherry,Stevenswood,Kirsche,Stevenswood,eir-woodgrain,true,/images/catalog/finishes/cherry.webp
ash,Ash,,,,eir-woodgrain,false,/images/catalog/finishes/ash.webp
teak,Teak,,,,eir-woodgrain,false,/images/catalog/finishes/teak.webp
reclaimed-barn,Reclaimed Barn,,,,eir-woodgrain,false,/images/catalog/finishes/reclaimed-barn.webp
ebony,Ebony,Salt International,Rockefeller,Salt TSV,eir-woodgrain,true,/images/catalog/finishes/ebony.webp
blonde-oak,Blonde Oak,Tafisa,Sheer Beauty,Karisma,eir-woodgrain,true,/images/catalog/finishes/blonde-oak.webp
pecan,Pecan,,,,eir-woodgrain,false,/images/catalog/finishes/pecan.webp
cedar,Cedar,,,,eir-woodgrain,false,/images/catalog/finishes/cedar.webp
